fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
26,US,MI,,state,,iso1:us#iso2:us-mi,,9986857,0.011,other,1.6,1.26,0.71,0.1,0.15,113,actual,1727,actual,0.74,1,0,1,0,0,0,1,997561,20931,1087281,13282615,1000,27031,18146,444,0.61,2496,1840,113,0.776520051746,200,11554450,5097485,4624503,2021-06-25,https://covidactnow.org/us/michigan-mi,0.51,0.463,31,9313318
27,US,MN,,state,,iso1:us#iso2:us-mn,,5639632,0.013,other,1.8,2.07,0.75,0.12,0.15,44,actual,607,actual,0.72,1,0,1,0,0,0,1,604972,7654,893006,11689794,1028,17693,8054,196,0.6,901,651,44,0.532017075774,121,6488930,3186843,2849697,2021-06-25,https://covidactnow.org/us/minnesota-mn,0.565,0.505,6,5775732
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.066,other,12.2,0.03,1.15,0.1,0.37,199,actual,1249,actual,0.81,2,1,2,2,2,0,2,629759,9872,660392,5612358,94,26185,14094,777,0.62,1790,1448,199,0.689096797409,1187,6070775,2720906,2350035,2021-06-25,https://covidactnow.org/us/missouri-mo,0.443,0.383,2,5033569
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,0.0,other,0.0,,,,,,,,,,0,0,0,4,4,4,4,183,2,468,41550,10,,,,,,,,,0,72330,28858,25780,2021-06-25,https://covidactnow.org/us/northern_mariana_islands-mp,0.538,0.481,0,54235
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.034,other,4.3,0.31,1.01,0.12,0.11,31,actual,543,actual,0.69,1,1,1,1,1,0,0,320594,7391,159062,1278501,200,14398,5600,155,0.51,836,574,31,0.807865168539,302,2644985,1063172,868653,2021-06-25,https://covidactnow.org/us/mississippi-ms,0.357,0.292,1,1879230
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.04,other,5.1,0.74,0.91,0.19,0.15,15,actual,137,actual,0.64,1,1,1,1,1,0,0,113578,1661,144413,1097014,200,3639,2150,57,0.57,237,152,15,0.61,67,1103295,505565,446426,2021-06-25,https://covidactnow.org/us/montana-mt,0.473,0.418,4,924481
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.022,other,3.0,0.78,0.88,0.1,0.21,133,actual,1764,actual,0.79,1,0,1,1,0,0,1,1008339,13426,995616,10895432,1215,29396,18186,482,0.64,2404,1897,133,0.77562210038,442,11607900,4706989,4075959,2021-06-25,https://covidactnow.org/us/north_carolina-nc,0.449,0.389,13,8565156
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.015,other,2.0,6.54,0.72,0.3,0.08,7,actual,58,actual,0.45,1,0,1,0,0,0,0,110658,1558,99901,1560294,500,3991,1039,42,0.55,143,65,7,0.67,13,710060,331869,292840,2021-06-25,https://covidactnow.org/us/north_dakota-nd,0.435,0.384,1,637216
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.036,other,1.8,5.69,1.02,0.24,0.04,8,actual,353,actual,0.64,1,1,1,0,1,0,0,224206,2519,255094,1812913,1000,7482,3034,50,0.53,564,361,8,0.638330757342,50,2074240,991778,908147,2021-06-25,https://covidactnow.org/us/nebraska-ne,0.513,0.469,0,1844039
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.009,other,1.8,1.17,0.93,0.27,0.02,2,actual,180,actual,0.64,1,0,1,0,1,0,0,99392,1369,82320,2000061,140,3472,2320,15,0.68,283,182,2,0.56,26,1818180,839146,746481,2021-06-25,https://covidactnow.org/us/new_hampshire-nh,0.617,0.549,0,1501636
