fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
13180,US,,,cbsa,,iso1:us#cbsa:13180,,87839,0.004,other,1.1,,0.71,0.99,,,0.23,1,0,1,4,0,4,0,12941,201,,,,245,58,2,0.15,11,2,1,0.14,3,,34975,29567,2021-06-25,,0.398,0.337,0,
13220,US,,,cbsa,,iso1:us#cbsa:13220,,115767,0.024,other,3.0,,0.77,0.6,,,0.88,1,0,1,4,0,4,3,10630,177,,,,498,270,7,0.478995983935743,33,29,13,0.6294420600858369,4,,52924,46180,2021-06-25,,0.457,0.399,0,
13260,US,,,cbsa,,iso1:us#cbsa:13260,,45370,0.053,other,6.3,,0.77,0.84,,,0.16,1,1,1,4,0,4,0,4761,125,,,,50,26,2,0.32,20,3,1,0.41,5,,18013,16997,2021-06-25,,0.397,0.375,0,
13300,US,,,cbsa,,iso1:us#cbsa:13300,,32565,0.02,other,12.3,,1.06,0.77,,,0.48,2,0,2,4,1,4,0,3528,74,,,,69,16,0,0.35,6,3,0,0.27,6,,12658,11110,2021-06-25,,0.389,0.341,0,23242
13340,US,,,cbsa,,iso1:us#cbsa:13340,,45672,0.004,other,0.6,,0.93,1.2,,,0.53,0,0,0,4,1,4,0,3877,78,,,,115,15,0,0.3,7,3,0,,1,,15663,14653,2021-06-25,,0.343,0.321,0,
13380,US,,,cbsa,,iso1:us#cbsa:13380,,229247,0.017,other,5.2,,0.76,0.41,,,0.57,1,0,1,4,0,4,0,9863,103,,,,253,232,13,0.8,43,24,4,,10,,133248,119305,2021-06-25,,0.581,0.52,0,
13420,US,,,cbsa,,iso1:us#cbsa:13420,,47188,0.012,other,1.5,,0.83,0.95,,,0.6,1,0,1,4,0,4,0,4080,62,,,,141,76,3,0.51,10,6,0,0.63,1,,20900,19463,2021-06-25,,0.443,0.412,0,
13460,US,,,cbsa,,iso1:us#cbsa:13460,,197692,0.028,other,5.9,,0.81,0.43,,,0.85,1,0,1,4,0,4,2,10055,82,,,,304,238,24,0.71,29,24,5,0.58,14,,113004,103072,2021-06-25,,0.572,0.521,0,210330
13500,US,,,cbsa,,iso1:us#cbsa:13500,,26118,0.004,other,4.4,,0.68,0.94,,,,1,0,1,4,0,4,4,3504,57,,,,,,,,,,,,1,,8667,7451,2021-06-25,,0.332,0.285,0,
13540,US,,,cbsa,,iso1:us#cbsa:13540,,35470,0.009,other,1.6,,1.0,1.17,,,0.54,1,0,1,4,1,4,0,2051,15,,,,99,42,0,0.4,10,5,0,0.5,1,,23970,19109,2021-06-25,,0.676,0.539,0,
13620,US,,,cbsa,,iso1:us#cbsa:13620,,31563,0.006,other,0.5,,0.89,1.2,,,0.45,0,0,0,4,0,4,0,2057,42,,,,66,25,1,0.38,8,3,0,0.23,0,,17263,15357,2021-06-25,,0.547,0.487,0,
13660,US,,,cbsa,,iso1:us#cbsa:13660,,43453,0.019,other,1.6,,0.95,1.12,,,0.79,1,0,1,4,1,4,1,3212,36,,,,49,20,1,0.4,4,3,0,0.49,0,,15785,14593,2021-06-25,,0.363,0.336,0,30378
13700,US,,,cbsa,,iso1:us#cbsa:13700,,36664,0.007,other,1.2,,1.02,1.0,,,0.38,1,0,1,4,1,4,0,4697,101,,,,346,24,0,0.7,6,2,1,0.39,0,,9994,8031,2021-06-25,,0.273,0.219,0,16591
13720,US,,,cbsa,,iso1:us#cbsa:13720,,41364,,other,0.7,,0.85,0.98,,,,0,4,0,4,0,4,4,3561,109,,,,396,78,2,0.2926262626262627,14,12,,0.40307692307692294,0,,16634,13321,2021-06-25,,0.402,0.322,0,29217
13740,US,,,cbsa,,iso1:us#cbsa:13740,,181667,0.038,other,8.4,,1.0,0.41,,,,1,1,1,4,1,4,4,19655,304,,,,663,485,64,,68,,,,28,,73201,67156,2021-06-25,,0.403,0.37,0,135854
13780,US,,,cbsa,,iso1:us#cbsa:13780,,238691,0.009,other,1.6,,0.6,0.68,,,,1,0,1,4,0,4,4,22482,429,,,,,,,,,,,,3,,126727,118399,2021-06-25,,0.531,0.496,0,
13820,US,,,cbsa,,iso1:us#cbsa:13820,,1090435,0.03,other,2.7,,0.75,0.22,,,0.84,1,0,1,4,0,4,2,130831,2396,,,,5211,3392,164,0.7042794089426214,605,506,254,0.7340330188679244,0,,440208,357804,2021-06-25,,0.404,0.328,0,771991
13900,US,,,cbsa,,iso1:us#cbsa:13900,,128949,0.007,other,2.2,,0.58,0.66,,,,1,0,1,4,0,4,4,21528,300,,,,551,336,,0.6166061705989111,22,,,,3,,56642,53196,2021-06-25,,0.439,0.413,0,
13940,US,,,cbsa,,iso1:us#cbsa:13940,,46811,0.016,other,0.6,,0.99,1.17,,,0.23,0,0,0,4,1,4,0,4878,76,,,,153,18,0,0.82,5,1,1,0.54,0,,14663,13436,2021-06-25,,0.313,0.287,0,
13980,US,,,cbsa,,iso1:us#cbsa:13980,,167531,0.022,other,2.9,,0.83,0.72,,,,1,0,1,4,0,4,4,15638,200,,,,,,,,,,,,4,,77575,66088,2021-06-25,,0.463,0.394,0,134697
