GEOID,County,State,Target_PctChg,AgeUnder15,Age15to24,Age25to34,Age35to44,Age45to64,Age65to84,asAgeOver85,Married_Family,Avg_HH_Size,Avg_Fam_Size,High_School,BS,Veterans,Born_in_State,Own_Comp,Broadband_Access,Mean_HHI,Median_HHI,Unempl_Rate,maskLow,maskHigh,DensPerSqMile,DominantReligion,Religiosity,Region,vaccineHest,Geographical_Point,CVAC_level_of_concern_for_vaccination_rollout,Social_Vulnerability_Index_SVI,per_dem,per_gop
48181,Grayson County,Texas,-1,0.138,0.127,0.11,0.127,0.253,0.162,0.023,0.488,2.73,3.43,0.897,0.217,0.101,0.64,0.902,0.802,74491,57476,4.6,0.222,0.777,129.6,Evangelical,0.663848375,South,0.4143,POINT (-99.317341 31.447238),0.79,0.66,0.24404852,0.742997022
48183,Gregg County,Texas,1.62992126,0.143,0.133,0.139,0.13,0.227,0.141,0.018,0.465,2.6,3.29,0.867,0.221,0.071,0.702,0.925,0.87,76229,53793,3.5,0.191,0.809,445.4,Evangelical,0.910720447,South,0.404,POINT (-99.317341 31.447238),0.79,0.88,0.308365637,0.677191447
48187,Guadalupe County,Texas,-0.351973684,0.145,0.129,0.129,0.144,0.254,0.126,0.013,0.59,2.95,3.39,0.889,0.293,0.146,0.583,0.961,0.895,94096,79768,4,0.081,0.919,184.9,Catholic,0.40186113,South,0.3234,POINT (-99.317341 31.447238),0.77,0.43,0.371236725,0.612859573
48201,Harris County,Texas,0.51843318,0.147,0.135,0.16,0.143,0.232,0.099,0.01,0.462,2.84,3.49,0.823,0.322,0.045,0.534,0.939,0.878,92488,61618,5.2,0.112,0.888,2402.4,Catholic,0.642096598,South,0.3417,POINT (-99.317341 31.447238),0.79,0.72,0.559594666,0.427000435
48203,Harrison County,Texas,2.11,0.166,0.12,0.122,0.116,0.249,0.159,0.022,0.501,2.7,3.11,0.856,0.197,0.071,0.68,0.898,0.73,79498,58817,6.5,0.211,0.789,72.9,Evangelical,0.648230257,South,0.4038,POINT (-99.317341 31.447238),0.94,0.73,0.266173006,0.722517671
48209,Hays County,Texas,0.502304147,0.131,0.203,0.139,0.138,0.217,0.103,0.009,0.521,2.87,3.34,0.906,0.365,0.065,0.657,0.971,0.913,95570,72058,3.3,0.029,0.97,231.7,Catholic,0.5389257,South,0.3252,POINT (-99.317341 31.447238),0.73,0.49,0.544309006,0.436003182
48213,Henderson County,Texas,0.330578512,0.118,0.119,0.121,0.104,0.256,0.214,0.022,0.489,2.66,3.22,0.816,0.158,0.079,0.733,0.871,0.756,69813,51521,5.7,0.242,0.757,89.9,Evangelical,0.609318494,South,0.4451,POINT (-99.317341 31.447238),0.9,0.72,0.194436794,0.796226935
48215,Hidalgo County,Texas,-0.017931034,0.181,0.165,0.134,0.125,0.195,0.102,0.012,0.526,3.47,4,0.675,0.19,0.029,0.64,0.894,0.732,58371,41800,6.4,0.091,0.91,493.2,Catholic,0.504559424,South,0.351,POINT (-99.317341 31.447238),0.99,0.98,0.580390612,0.409839554
48231,Hunt County,Texas,4.65,0.136,0.14,0.117,0.119,0.269,0.143,0.013,0.504,2.73,3.28,0.842,0.201,0.088,0.682,0.917,0.85,70814,58063,3.2,0.223,0.777,102.5,Evangelical,0.554993092,South,0.3518,POINT (-99.317341 31.447238),0.87,0.83,0.230880904,0.756027376
48245,Jefferson County,Texas,2.579831933,0.135,0.131,0.143,0.129,0.25,0.127,0.018,0.443,2.64,3.34,0.841,0.209,0.072,0.68,0.942,0.862,73960,55797,3.1,0.221,0.779,287.9,Catholic,0.830021445,South,0.3971,POINT (-99.317341 31.447238),0.95,0.86,0.486315034,0.502116341
